date,event,description
0026-01-01,Indus Valley Civilization Flourishes,Development of one of the world's earliest urban civilizations
1400-01-01,Battle of the Ten Kings,Rigvedic tribes consolidated their control over the region
1206-01-01,Establishment of the Delhi Sultanate,Muslim rule established in parts of India
1526-04-21,Battle of Panipat,Foundation of the Mughal Empire in India
1858-05-01,Establishment of British Raj,Start of direct British governance in India
1947-08-15,Partition of India,Creation of India and Pakistan; massive population displacement and violence
1971-12-03,IndoUnknownPakistani War of 1971,Led to the independence of Bangladesh
1998-05-11,PokhranUnknownII Nuclear Tests,India declared itself a nuclear state
2008-11-26,Mumbai Terror Attacks,Highlighted the threat of international terrorism
1498-05-20,Arrival of Vasco da Gama,Marked the beginning of European colonial interests in India
1757-06-23,Battle of Plassey,Foundation for the expansion of British rule in India
1857-05-10,First War of Indian Independence,First largeUnknownscale rebellion against British rule
1905-08-07,Swadeshi Movement,Promoted Indian goods; protest against British economic policies
1960-01-01,Green Revolution,Dramatically increased agricultural production
1984-06-01,Operation Blue Star,Removal of armed militants from Golden Temple but led to controversy
1999-05-01,Kargil War,India regained control of Kargil; heightened patriotism
2005-06-15,Right to Information Act Enacted,Empowered citizens to seek information from public authorities
2012-12-16,Nirbhaya Case,Brought attention to women's safety and led to legal reforms
2022-10-01,Launch of 5G Services,Introduction of 5G technology expected to revolutionize connectivity
2020-08-05,Ram Mandir Bhoomi Pujan,Beginning of the construction of Ram Temple at disputed site
2018-02-01,India's First Hyperloop Project Announcement,Proposal for highUnknownspeed transportation system
1947-08-15,Indian Independence,End of British rule and birth of independent India
1951-10-01,First General Elections,Establishment of democratic governance
1962-10-20,SinoUnknownIndian War,Highlighted the border disputes and led to military and strategic changes
1974-05-18,First Nuclear Test (Smiling Buddha),"India joins the nuclear club, changing its strategic position globally"
1975-06-25,Emergency Declared by Indira Gandhi,Period of political unrest and curtailment of civil liberties
1984-12-03,Bhopal Gas Tragedy,World's worst industrial disaster
1991-07-01,Economic Reforms and Liberalization,Opening of the Indian economy to global markets and investors
1999-12-24,Kandahar Hijacking (IC 814),Highlighted issues in aviation security and terrorism
2001-12-13,2001 Indian Parliament Attack,Led to increased tensions between India and Pakistan
2009-08-04,Right to Education Act,Ensured free and compulsory education for children
2019-08-05,Article 370 Revocation for Jammu & Kashmir,Changed the special status and autonomy of J&K
2019-11-09,Supreme Court Verdict on Ayodhya,Paved the way for the construction of a Ram Temple
2009-06-30,Opening of BandraUnknownWorli Sea Link,Improved connectivity and reduced travel time in Mumbai
2018-10-31,Statue of Unity Unveiled,"Became the world's tallest statue, symbolizing unity"
2019-07-30,Triple Talaq Bill Passed,Made instant triple talaq a criminal offence
2020-01-01,India's First Transgender University,Empowered the transgender community through education
2020-03-24,Nationwide Lockdown due to COVIDUnknown19,Aimed to prevent the spread of COVIDUnknown19; significant economic impact
1983-06-25,Historic Win in Cricket World Cup 1983,"Marked India's first Cricket World Cup win, boosting the sport's popularity"
2013-06-01,2013 Uttarakhand Floods,Severe floods causing massive destruction and loss of life
2014-09-24,Indian Mars Orbiter Mission Success,"Made India the first Asian nation to reach Mars orbit, and at first attempt"
2007-09-24,India Wins ICC T20 World Cup 2007,Boosted the popularity of T20 cricket in India and worldwide
2016-11-08,India's Demonetisation Campaign,"Aimed to curb illegal cash holdings, and promote digital transactions"
2016-04-01,Introduction of UPI (Unified Payment Interface),"Revolutionized digital payments in India, making transactions simple and fast"
2016-09-05,Jio Telecom Launch,Dramatically increased internet accessibility and usage in India
2019-07-30,Abolition of Instant Triple Talaq,Protected Muslim women's rights by making instant triple talaq illegal
2020-05-01,Asiatic Lion Census Showing Population Increase,"Indicated successful conservation efforts, with an increase in the Asiatic lion population"
2018-09-06,Decriminalisation of Section 377,"Landmark judgement for LGBTQ+ rights in India, decriminalizing homosexuality"
2008-10-22,Launch of ChandrayaanUnknown1,"India's first lunar mission, contributing significant findings like water molecules on Moon"
2014-10-02,Start of Swachh Bharat Mission,"Aimed at cleaning up the streets, roads and infrastructure of cities, towns, and rural areas"
2019-02-14,Pulwama Terrorist Attack,Led to a significant military and diplomatic standoff between India and Pakistan
2015-11-30,Historic Solar Alliance Initiative,India coUnknownlaunched the International Solar Alliance to promote solar energy globally
2017-07-01,GST (Goods and Services Tax) Implementation,"Unified the country's tax system, replacing multiple indirect taxes with a single tax"
